one	two
1689.688456	0.988
1694.375958	0.988
1699.06346	0.986
1703.750962	0.986
1708.438463	0.986
1713.125965	0.984
1717.813467	0.982
1722.500969	0.984
1727.18847	0.985
1731.875972	0.985
1736.563474	0.984
1741.250976	0.984
1745.938477	0.984
1750.625979	0.984
1755.313481	0.984
1760.000982	0.984
1764.688484	0.982
1769.375986	0.982
1774.063488	0.985
1778.750989	0.988
1783.438491	0.988
1788.125993	0.988
1792.813495	0.988
1797.500996	0.989
1802.188498	0.994
1806.876	0.994
1811.563502	0.994
1816.251003	0.994
1820.938505	0.995
1825.626007	0.997
1830.313509	0.995
1835.00101	0.995
1839.688512	0.995
1844.376014	0.995
1849.063516	0.997
1853.751017	0.997
1858.438519	0.997
1863.126021	0.995
1867.813523	0.994
1872.501024	0.992
1877.188526	0.992
1881.876028	0.991
1886.563529	0.989
1891.251031	0.988
1895.938533	0.985
1900.626035	0.984
1905.313536	0.981
1910.001038	0.978
1914.68854	0.976
1919.376042	0.973
1924.063543	0.97
1928.751045	0.97
1933.438547	0.97
1938.126049	0.973
1942.81355	0.976
1947.501052	0.979
1952.188554	0.982
1956.876056	0.986
1961.563557	0.988
1966.251059	0.991
1970.938561	0.992
1975.626063	0.994
1980.313564	0.995
1985.001066	0.998
1989.688568	1
1994.37607	1.001
1999.063571	1.001
2003.751073	1.001
2008.438575	1.001
2013.126077	1.001
2017.813578	1.001
2022.50108	1.001
2027.188582	1.001
2031.876083	1.001
2036.563585	1.001
2041.251087	1.001
2045.938589	1.0014
2050.62609	1.001
2055.313592	1.001
2060.001094	1.001
2064.688596	1
2069.376097	1
2074.063599	0.9992
2078.751101	0.998
2083.438603	0.997
2088.126104	0.9952
2092.813606	0.994
2097.501108	0.9922
2102.18861	0.991
2106.876111	0.9881
2111.563613	0.988
2116.251115	0.988
2120.938617	0.985
2125.626118	0.9842
2130.31362	0.984
2135.001122	0.984
2139.688624	0.9853
2144.376125	0.9888
2149.063627	0.991
2153.751129	0.992
2158.438631	0.994
2163.126132	0.994
2167.813634	0.994
2172.501136	0.994
2177.188637	0.994
2181.876139	0.994
2186.563641	0.994
2191.251143	0.994
2195.938644	0.9943
2200.626146	0.995
2205.313648	0.9972
2210.00115	0.9995
2214.688651	1
2219.376153	1
2224.063655	1
2228.751157	1
2233.438658	1
2238.12616	0.9986
2242.813662	0.9978
2247.501164	0.997
2252.188665	0.995
2256.876167	0.994
2261.563669	0.991
2266.251171	0.991
2270.938672	0.989
2275.626174	0.989
2280.313676	0.9912
2285.001178	0.992
2289.688679	0.9942
2294.376181	0.9963
2299.063683	0.9983
2303.751185	1.0006
2308.438686	1.001
2313.126188	1.001
2317.81369	1.001
2322.501191	1.001
2327.188693	1.001
2331.876195	1
2336.563697	0.9979
2341.251198	0.9952
2345.9387	0.994
2350.626202	0.995
2355.313704	1
2360.001205	1.001
2364.688707	1.001
2369.376209	1.001
2374.063711	1.001
2378.751212	1
2383.438714	0.998
2388.126216	0.997
2392.813718	0.997
2397.501219	0.997
2402.188721	0.997
2406.876223	0.995
2411.563725	0.994
2416.251226	0.992
2420.938728	0.992
2425.62623	0.992
2430.313732	0.994
2435.001233	0.994
2439.688735	0.994
2444.376237	0.995
2449.063739	0.995
2453.75124	0.995
2458.438742	0.9969
2463.126244	0.997
2467.813745	0.997
2472.501247	0.9974
2477.188749	0.998
2481.876251	0.998
2486.563752	0.998
2491.251254	0.998
2495.938756	1
2500.626258	1
2505.313759	1
2510.001261	1.001
2514.688763	1.001
2519.376265	1.001
2524.063766	1.001
2528.751268	1.001
2533.43877	1.001
2538.126272	1.001
2542.813773	1.001
2547.501275	1.001
2552.188777	1.001
2556.876279	1.001
2561.56378	1.001
2566.251282	1.001
2570.938784	1
2575.626286	1
2580.313787	1
2585.001289	1
2589.688791	0.9984
2594.376293	0.998
2599.063794	0.998
2603.751296	0.9977
2608.438798	0.9955
2613.126299	0.992
